"","ref_etp_proj"
"1",1.67801905795932
"2",2.21515526622534
"3",0.995798092335463
"4",0.133857376873493
"5",0.658200910314918
"6",1.96287697553635
"7",1.31361279264092
"8",0.941867938265204
"9",0.403332270681858
"10",1.46977391373366
"11",2.42934250738472
"12",2.26579108089209
"13",2.3156369751232
"14",2.23374050110579
"15",1.62577608553693
"16",2.26133792474866
"17",1.7721806303598
"18",1.56222951412201
"19",1.64299022592604
"20",0.822283200919628
"21",0.530091795139015
"22",-1.52600805112161
"23",1.52619047090411
"24",2.05282909050584
"25",3.66050998866558
"26",2.86374663375318
"27",2.27090547978878
"28",4.07933019846678
"29",2.67865362018347
"30",2.62348186969757
"31",2.04805444180965
"32",1.13606338016689
"33",1.10019240528345
"34",0.788861338049173
"35",0.653726557269692
"36",0.559872889542021
"37",-0.172665774822235
"38",-1.41354443877935
"39",0.0967695191502571
"40",2.1917954175733
"41",3.33235788438469
"42",4.7292285785079
"43",3.05840720981359
"44",4.50661858916283
"45",3.79654028080404
"46",5.19967949390411
"47",4.43032684922218
"48",4.06150560826063
"49",3.97247265763872
"50",3.99788680206984
"51",4.24195212498307
"52",4.94939360395074
"53",5.25467081181705
"54",6.50755687057972
"55",5.30552937276661
"56",4.79767046868801
"57",3.20883424626663
"58",4.23491060733795
"59",4.61856585741043
"60",2.89881960302591
"61",3.14593700319529
"62",4.5227299593389
"63",4.83748079836369
"64",4.90294008888304
"65",5.65283087268472
"66",3.80624021962285
"67",4.63496914505959
"68",3.64085650444031
"69",2.21071751601994
"70",5.13501093164086
"71",6.60309351980686
"72",6.42774040997028
"73",5.48389022797346
"74",5.91492279386148
"75",4.4453549394384
"76",5.46683535072953
"77",4.5053433412686
"78",5.83078269660473
"79",5.49273261427879
"80",5.5606626495719
"81",5.01694567129016
"82",5.97788129374385
"83",5.58331368118525
"84",6.60894264653325
"85",5.57656861841679
"86",3.03760400414467
"87",1.3169230222702
"88",3.25323903746903
"89",4.17761281877756
"90",6.11405936256051
"91",6.04509568214417
"92",5.6986750504002
"93",8.02568505704403
"94",7.01986646652222
"95",6.64598966389894
"96",4.92723046243191
"97",5.05629145074636
"98",5.20268036052585
"99",5.37676872313023
"100",6.55788230430335
"101",6.90139903844101
"102",8.21763151884079
"103",5.28840776905417
"104",6.72207267396152
"105",6.98057041876018
"106",8.22917097806931
"107",8.37255151942372
"108",8.75149644911289
"109",8.73736112006009
"110",9.19834214821458
"111",7.38611016049981
"112",6.74080274160951
"113",4.48427772149444
"114",6.43014998361468
"115",8.95637564733624
"116",10.481429412961
"117",7.96570840105414
"118",8.42722763307393
"119",6.05627555772662
"120",6.06748722493649
"121",8.2103256827686
"122",7.70903153112158
"123",7.63602387811989
"124",8.57925232686102
"125",9.25157145783305
"126",8.86881877854466
"127",8.84174738591537
"128",9.32252724282444
"129",10.2029917102773
"130",10.6688831821084
"131",7.51706982403994
"132",7.67344202660024
"133",8.03642017068341
"134",3.89050749316812
"135",8.08666036184877
"136",10.9972454756498
"137",11.6246329247952
"138",12.9130246341228
"139",13.1717896163464
"140",13.8093968331814
"141",12.0256119072437
"142",10.2823737002909
"143",9.99876472353935
"144",14.3382523059845
"145",14.0976032018661
"146",12.0142502449453
"147",9.44852304458618
"148",11.3755700364709
"149",9.36202768981457
"150",8.77393799833953
"151",8.17101375712082
"152",8.61179984360933
"153",5.82450287044048
"154",7.57364473305643
"155",8.78733143489808
"156",8.43602438829839
"157",9.86565313115716
"158",8.57794563472271
"159",10.0145378559828
"160",8.29813733324409
"161",8.51395968627185
"162",8.71873782668263
"163",8.88798999693245
"164",7.78672677837312
"165",8.86176675837487
"166",8.88493009563535
"167",6.67273591738194
"168",8.34729579277337
"169",9.67727476358414
"170",10.1073622200638
"171",10.730771034956
"172",10.8712239025772
"173",10.5831522215158
"174",10.3370493073016
"175",11.4797120466828
"176",10.840988278389
"177",8.57366755232215
"178",9.23419341444969
"179",10.8680797815323
"180",11.3056865409017
"181",11.4817559085786
"182",10.675833389163
"183",11.3388754501939
"184",11.4440983533859
"185",11.9141303151846
"186",13.2697025462985
"187",14.2809054106474
"188",14.6402825713158
"189",13.9322465956211
"190",8.98957106471062
"191",4.44765502214432
"192",3.84834931790829
"193",3.80109488219023
"194",5.411645966582
"195",7.02417883276939
"196",7.42795204371214
"197",8.38712451187894
"198",7.05759698990732
"199",10.2601425498724
"200",10.9195878952742
"201",10.6074094772339
"202",11.2874103263021
"203",11.6242886930704
"204",10.8732384219766
"205",8.06493120640516
"206",6.91587579995394
"207",7.3715754756704
"208",5.35585303977132
"209",7.45530124753714
"210",8.6879147849977
"211",8.26638668775558
"212",5.28594288229942
"213",5.72030223533511
"214",5.28181964531541
"215",8.1315348520875
"216",9.19901344180107
"217",10.1312596425414
"218",10.5688047111034
"219",10.694102242589
"220",8.90373662859201
"221",7.76931798644364
"222",5.49378500133753
"223",4.82692915201187
"224",6.79442584700882
"225",7.97792603075504
"226",7.46157677820884
"227",7.85312609514222
"228",6.24887559376657
"229",6.16296105831861
"230",5.05126782506704
"231",8.40686271106824
"232",9.01638376712799
"233",8.15692319348454
"234",7.48399031162262
"235",8.02459681915934
"236",7.35233792103827
"237",6.33244987670332
"238",5.21750789880753
"239",4.03905541996937
"240",3.50224759802222
"241",4.04508521105163
"242",5.67063646391034
"243",6.24596092198044
"244",4.36333819106221
"245",6.57464022561908
"246",6.77516941586509
"247",5.54161875043064
"248",6.50187298306264
"249",6.68386100581847
"250",6.4869351182133
"251",6.14196780044585
"252",7.63237734884024
"253",6.59650609630626
"254",6.79622520226985
"255",6.83864990668371
"256",6.11084125400521
"257",5.44689769297838
