"","pr_dsI"
"1",0.337903789381158
"2",0.286753215759239
"3",0.227852555224909
"4",0
"5",0
"6",0
"7",0.166626868616855
"8",0.0759508517416363
"9",0
"10",0.148801668718308
"11",0.157326764321961
"12",0
"13",0.15655175563072
"14",0.554307870630305
"15",0
"16",0.192977164119056
"17",0.23482763344608
"18",0.139501564423414
"19",0.199177233648985
"20",0
"21",0.116251303686178
"22",0.24800278119718
"23",0.223202503077462
"24",0
"25",0
"26",0.241027702976009
"27",0.122451373216108
"28",0.180577025059197
"29",0.10462617331756
"30",0.242577720358492
"31",0.170501912073061
"32",12.1237548470391
"33",10.5156105237368
"34",0
"35",0
"36",0.344246580123274
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",7.67092361424572
"62",37.5671440287034
"63",0.239854479007683
"64",4.93483733315808
"65",2.8001650512147
"66",0.77543032187484
"67",0.273568964008763
"68",0.245634105007868
"69",0.160866257005153
"70",0.289944571009288
"71",0.154123360004937
"72",0.279348590008948
"73",0.0780249510024994
"74",0
"75",1.4267176770457
"76",0.122335417003919
"77",0.0192654200006171
"78",0.148343734004752
"79",0.0703187830022525
"80",0.262972983008424
"81",0.137747753004412
"82",0.0327512140010491
"83",0.139674295004474
"84",0.0876576610028079
"85",0.204213452006542
"86",0.0221552330007097
"87",0.0577962600018514
"88",0.328475411010522
"89",19.6590578616297
"90",29.4839545921945
"91",0.143527379004598
"92",0
"93",5.8066902847387
"94",3.95489839438923
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0.705995658195736
"102",23.6500278567489
"103",1.28919987794806
"104",0.3818384895195
"105",0
"106",0.423052802673986
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0.391535974967614
"120",0
"121",2.93946525891188
"122",33.3983909963928
"123",37.5717448038341
"124",0
"125",0
"126",0
"127",0.249221718598453
"128",36.589099170503
"129",0.323479618425748
"130",0
"131",14.195375889346
"132",0
"133",1.83844648719615
"134",0
"135",2.66534599890447
"136",32.8088036163942
"137",23.0054683568091
"138",4.07371298971974
"139",0.416179327057856
"140",0
"141",0.286859284264342
"142",7.7551934787401
"143",10.4044831764464
"144",2.55616315075657
"145",0.343824248515417
"146",0
"147",0
"148",0
"149",5.47198744835327
"150",0.333651933470582
"151",0
