,0,1,2
0,1979.0,1.0,1.0
1,1979.0,1.0,2.0
2,1979.0,1.0,3.0
3,1979.0,1.0,4.0
4,1979.0,1.0,5.0
5,1979.0,1.0,6.0
6,1979.0,1.0,7.0
7,1979.0,1.0,8.0
8,1979.0,1.0,9.0
9,1979.0,1.0,10.0
10,1979.0,1.0,11.0
11,1979.0,1.0,12.0
12,1979.0,1.0,13.0
13,1979.0,1.0,14.0
14,1979.0,1.0,15.0
15,1979.0,1.0,16.0
16,1979.0,1.0,17.0
17,1979.0,1.0,18.0
18,1979.0,1.0,19.0
19,1979.0,1.0,20.0
20,1979.0,1.0,21.0
21,1979.0,1.0,22.0
22,1979.0,1.0,23.0
23,1979.0,1.0,24.0
24,1979.0,1.0,25.0
25,1979.0,1.0,26.0
26,1979.0,1.0,27.0
27,1979.0,1.0,28.0
28,1979.0,1.0,29.0
29,1979.0,1.0,30.0
30,1979.0,1.0,31.0
31,1979.0,2.0,1.0
32,1979.0,2.0,2.0
33,1979.0,2.0,3.0
34,1979.0,2.0,4.0
35,1979.0,2.0,5.0
36,1979.0,2.0,6.0
37,1979.0,2.0,7.0
38,1979.0,2.0,8.0
39,1979.0,2.0,9.0
40,1979.0,2.0,10.0
41,1979.0,2.0,11.0
42,1979.0,2.0,12.0
43,1979.0,2.0,13.0
44,1979.0,2.0,14.0
45,1979.0,2.0,15.0
46,1979.0,2.0,16.0
47,1979.0,2.0,17.0
48,1979.0,2.0,18.0
49,1979.0,2.0,19.0
50,1979.0,2.0,20.0
51,1979.0,2.0,21.0
52,1979.0,2.0,22.0
53,1979.0,2.0,23.0
54,1979.0,2.0,24.0
55,1979.0,2.0,25.0
56,1979.0,2.0,26.0
57,1979.0,2.0,27.0
58,1979.0,2.0,28.0
59,1979.0,3.0,1.0
60,1979.0,3.0,2.0
61,1979.0,3.0,3.0
62,1979.0,3.0,4.0
63,1979.0,3.0,5.0
64,1979.0,3.0,6.0
65,1979.0,3.0,7.0
66,1979.0,3.0,8.0
67,1979.0,3.0,9.0
68,1979.0,3.0,10.0
69,1979.0,3.0,11.0
70,1979.0,3.0,12.0
71,1979.0,3.0,13.0
72,1979.0,3.0,14.0
73,1979.0,3.0,15.0
74,1979.0,3.0,16.0
75,1979.0,3.0,17.0
76,1979.0,3.0,18.0
77,1979.0,3.0,19.0
78,1979.0,3.0,20.0
79,1979.0,3.0,21.0
80,1979.0,3.0,22.0
81,1979.0,3.0,23.0
82,1979.0,3.0,24.0
83,1979.0,3.0,25.0
84,1979.0,3.0,26.0
85,1979.0,3.0,27.0
86,1979.0,3.0,28.0
87,1979.0,3.0,29.0
88,1979.0,3.0,30.0
89,1979.0,3.0,31.0
90,1979.0,4.0,1.0
91,1979.0,4.0,2.0
92,1979.0,4.0,3.0
93,1979.0,4.0,4.0
94,1979.0,4.0,5.0
95,1979.0,4.0,6.0
96,1979.0,4.0,7.0
97,1979.0,4.0,8.0
98,1979.0,4.0,9.0
99,1979.0,4.0,10.0
100,1979.0,4.0,11.0
101,1979.0,4.0,12.0
102,1979.0,4.0,13.0
103,1979.0,4.0,14.0
104,1979.0,4.0,15.0
105,1979.0,4.0,16.0
106,1979.0,4.0,17.0
107,1979.0,4.0,18.0
108,1979.0,4.0,19.0
109,1979.0,4.0,20.0
110,1979.0,4.0,21.0
111,1979.0,4.0,22.0
112,1979.0,4.0,23.0
113,1979.0,4.0,24.0
114,1979.0,4.0,25.0
115,1979.0,4.0,26.0
116,1979.0,4.0,27.0
117,1979.0,4.0,28.0
118,1979.0,4.0,29.0
119,1979.0,4.0,30.0
120,1979.0,5.0,1.0
121,1979.0,5.0,2.0
122,1979.0,5.0,3.0
123,1979.0,5.0,4.0
124,1979.0,5.0,5.0
125,1979.0,5.0,6.0
126,1979.0,5.0,7.0
127,1979.0,5.0,8.0
128,1979.0,5.0,9.0
129,1979.0,5.0,10.0
130,1979.0,5.0,11.0
131,1979.0,5.0,12.0
