"","IPSL_prec_proj"
"1",0.336235348186165
"2",0.0371039902802295
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0.477136745757889
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",11.7679279355798
"33",10.9443906694651
"34",0
"35",0
"36",0.000770248576031918
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",7.66911471146159
"62",42.6547165261582
"63",0
"64",2.62659668806009
"65",0.775629541749367
"66",0.0837673439946229
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0.284227439806273
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",27.9803934972733
"90",32.4121298035607
"91",0
"92",0
"93",6.9872141466476
"94",5.26307994732633
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",1.22541032396839
"102",57.7815226279199
"103",1.92425759450998
"104",0.000210761919028357
"105",0
"106",0.131386980228854
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0.0107259829462691
"120",0
"121",3.08024464175105
"122",22.9622237384319
"123",35.3063165675849
"124",0
"125",0
"126",0
"127",0
"128",29.9784092931077
"129",0.000267075139781525
"130",0
"131",10.1504134363495
"132",0
"133",0.54256906878436
"134",0
"135",1.75250934262294
"136",22.106125834398
"137",18.3838710654527
"138",2.90934840450063
"139",0.110587484414282
"140",0
"141",0
"142",6.41739825368859
"143",7.73652063799091
"144",1.52104275912279
"145",0.0604768217726814
"146",0
"147",0
"148",0
"149",4.23275596403982
"150",0.0211410920769595
"151",0
"152",0
"153",0
"154",41.9869436882436
"155",0.25703893697937
"156",0
"157",0
"158",0
"159",0
"160",3.93393784179352
"161",8.58812927617691
"162",0.310471341435914
"163",0.0312662024271049
"164",0
"165",0
"166",0
"167",0
"168",0
"169",22.0617715967819
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0
"188",5.41685363231181e-05
"189",16.8946877238341
"190",7.42699630791321
"191",1.74870092450874
"192",0.805467152531492
"193",5.21696201758459
"194",5.15823085152078
"195",4.97997316415422
"196",0.00255453915798398
"197",0
"198",0
"199",0
"200",0
"201",0
"202",0
"203",0
"204",0
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0
"211",0
"212",0
"213",0
"214",7.44143035262823
"215",4.94255691592116
"216",10.0371456937864
"217",7.57525922381319
"218",4.565736890072
"219",4.75743181596044
"220",8.08705954113975
"221",10.5521918158047
"222",5.40551409358159
"223",0
"224",0
"225",0
"226",0
"227",6.92121902829967
"228",2.7949217837886
"229",0
"230",0
"231",0
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0
"238",0
"239",0
"240",0
"241",0
"242",12.6100247143768
"243",0
