"","pr_ds1"
"1",8.38576170053983
"2",1.32225976745262
"3",0
"4",0.0323001934698188
"5",0.0541713290069975
"6",0.0655443194863304
"7",0.0196149348582552
"8",0
"9",0
"10",0
"11",0.0427983385276646
"12",0.00211802642851229
"13",0
"14",0.0152407077508195
"15",0.0379866887094853
"16",0.0769173099656633
"17",3.11394319065829
"18",2.73600996857584
"19",0
"20",0
"21",0
"22",0
"23",0.186434143387093
"24",0.0121787487756145
"25",0
"26",0
"27",0.042360915816921
"28",0.237133319200741
"29",0.0235517392549473
"30",0.0139284396185888
"31",0.0642320513540997
"32",0.687053130121592
"33",0.194115623815422
"34",0.120031634237092
"35",0
"36",0.0748985352048824
"37",0.182106995680066
"38",0.053943882082785
"39",0.0370189699457063
"40",0.0257356951876538
"41",0
"42",0.034601125354695
"43",0
"44",0
"45",0
"46",0.0652271568408375
"47",0.0329892289606875
"48",0.00560642474100465
"49",0.0273475915816613
"50",0.0233178505966426
"51",0.00112559334721513
"52",0
"53",0
"54",0
"55",0
"56",0.129703012601137
"57",0.0805401725839087
"58",0.0603914676588149
"59",0.0354070735516988
"60",0.0829580171749199
"61",0.0430886934909302
"62",0.00154473934807198
"63",0
"64",0.0867098453409314
"65",0.00050614049450054
"66",0
"67",0
"68",0
"69",0.0181623210052153
"70",0
"71",0
"72",0
"73",0.235368331515763
"74",0.385386438007998
"75",0.118906409801647
"76",0.0555518797337877
"77",5.7906458739152
"78",7.90743252559424
"79",0.0192009198587867
"80",0
"81",0
"82",0.0711308625373596
"83",1.17023726343688
"84",2.87633749079369
"85",0.0784010545123597
"86",1.01818639127402
"87",28.2509448040899
"88",8.67215897088392
"89",0.214634121675373
"90",0.180077105274723
"91",0.0462044900516446
"92",0
"93",0.0543237222321332
"94",0.00376405120078188
"95",7.36019618626239
"96",0.0899099522272764
"97",0.0298865479003134
"98",0
"99",0
"100",0
"101",0
"102",0.0832983029385614
"103",0.557392448994078
"104",0.0256732419810341
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",3.85830697145342
"113",36.0836508958833
"114",0.172555568336216
"115",0
"116",0
"117",0
"118",0
"119",0.242405698468759
"120",0.0560090445998448
"121",0.00460671238463775
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0.0408773200848376
"129",0
"130",0
"131",0.781832986693841
"132",2.24977925042757
"133",0
"134",18.3491598650849
"135",0.450767007613512
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",2.68707960143163
"144",0
"145",0
"146",0
"147",6.0576561530168
"148",8.6124993575367
"149",0
"150",0
"151",2.33555739620144
"152",5.63381119742825
"153",71.2002335129344
"154",0.0257029987416364
"155",0.178469123783278
"156",5.24097005546665
"157",0.121282353011324
"158",14.1354051198325
"159",9.72595668651813
"160",0
"161",0
"162",0
"163",0
"164",3.81392885467754
"165",1.52488118269354
"166",0.250267955469389
"167",8.54708024072023
"168",0.887136557663176
"169",2.32381400965467
"170",0.128430699357818
"171",2.18084708272478
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0.037934009600657
"178",0.428976614131745
"179",0
"180",0
"181",0
"182",0
"183",0.244288119426661
"184",0
"185",2.32586972462109
"186",0.0258468999286492
"187",0
"188",0.156563189078078
"189",0.469753098784105
"190",2.99829520883149
"191",40.541125204678
"192",17.3470770289246
"193",18.1139755150489
"194",3.28171421457307
"195",1.87017642127188
"196",13.9293772538056
"197",0.0503499839985261
"198",1.12180205316995
"199",0
"200",0
"201",0
"202",0
"203",0
"204",0
"205",3.87522695600837
"206",10.5216805024187
"207",4.22088699830496
"208",10.6350481047153
"209",4.47651982701305
"210",0
"211",3.83743775524283
"212",25.1661072461481
"213",5.67503026305749
"214",16.7286540011177
"215",0.195444553448034
"216",68.3586256911234
"217",1.39804912636594
"218",0.21891117693739
"219",0
"220",0.00249676031332779
"221",1.43829515253331
"222",9.03776822642478
"223",18.5957666882048
"224",6.20058566398902
"225",2.12075294951463
"226",0
"227",0
"228",0.38608544757931
"229",4.91904183881284
"230",12.3554688674153
"231",0.23716299520689
"232",0.0442152020721833
"233",0
"234",0.15111870907925
"235",0.350075845219034
"236",0.422095049939585
"237",4.27497559424412
"238",6.87746540247323
"239",23.1556847282644
"240",25.6535348684583
"241",12.6819809829344
"242",9.77079766270701
"243",1.49866419178436
"244",7.44761743984427
"245",0.220109712593182
"246",0.0874427495002594
"247",6.71303833284067
"248",0.488573117104255
"249",0
"250",0
"251",0.706330674887408
"252",1.81212314811205
"253",0
"254",0
"255",0
"256",0.0346025586929983
"257",0.106587096073162
"258",8.33332573572847
"259",27.8013431484838
"260",1.31283733822627
"261",0
"262",23.1574689699472
"263",10.9802631333614
"264",0.234887804684545
"265",0.138494340361333
"266",0.16402013579187
"267",0.264443988867272
"268",4.43243721261177
"269",2.71581555310358
"270",34.7267229327176
"271",3.89818124173822
"272",0
"273",0
"274",0
"275",0
"276",0
"277",0
"278",0
"279",0.0268496900149557
"280",0
"281",5.34695125495468
"282",4.16564757165911
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0
"289",0
"290",0
"291",0
"292",0
"293",0
"294",0.148770949325084
"295",11.1562833352431
"296",5.14203122826055
"297",0
"298",0.000931550544026466
"299",0.029577915222422
"300",1.46251133717917
"301",11.3099733552637
"302",3.76183457787949
"303",2.23457767304735
"304",0.0275317463168222
"305",22.7440588153255
"306",2.45457093333175
"307",0
"308",0
"309",4.14159547702661
"310",1.05225590931079
"311",4.33847934825873
"312",25.3761000596206
"313",0
"314",0
"315",0
"316",0
"317",0
"318",0.00924016290251584
"319",0.508757155531356
"320",0.515788722361075
"321",18.1768096799342
"322",8.3861801127074
"323",0
"324",0.0217407261553491
"325",0
"326",0
"327",0
"328",0.0186155853421407
"329",7.30331882093072
"330",0.782988261890386
"331",0
"332",0.0436167118478072
"333",0.529851856020513
"334",17.2662217754857
"335",2.01061710604363
"336",0.408271872099349
"337",0
"338",0
"339",0.0344759901186238
"340",0.0886485732852484
"341",0
"342",0
"343",0
"344",0.0209328443269676
"345",0
"346",0.00738969853531146
"347",0
"348",0
"349",0
"350",0.17453493539537
"351",0
"352",0.264906173671792
"353",0.136049583556045
"354",0.0937272529571195
"355",0
"356",0
"357",0
"358",0
"359",0
"360",0
"361",0.120813544540432
"362",0
"363",0.00061812563948338
"364",0
"365",0
"366",0
"367",0
"368",0
"369",0.0261762755194088
"370",0.0729805055689711
"371",0.072105660147484
"372",0.0712308147259968
"373",0.0677314330400482
"374",4.34922492579814
"375",2.14361464031169
"376",0.0489222564780746
"377",0.192696194825107
"378",0.967072526328835
"379",0.0799792689408683
"380",0.0681688557507918
"381",0.0777921553871504
"382",0.000805758296281572
"383",0.00824194437892228
"384",0.0467351429243567
"385",0.0305505026268445
"386",0.00780452166817873
"387",0.0572332879822025
"388",0
"389",0.0624823605111254
"390",0.0550461744284846
"391",0
"392",0.0502345246103053
"393",0.015678130461563
"394",0.00124318100702514
"395",0.0113039033541273
"396",0
"397",0
"398",0
"399",0
"400",0.132926805389152
"401",0.10874835947904
"402",0.158089739409355
"403",13.3923067872045
"404",6.53942469458689
"405",0.0877937063569424
"406",0.103912670297017
"407",0.0531379338857812
"408",0.0305713843696763
"409",0.353313339859827
"410",0.214130004041015
"411",0.116001893252074
"412",0.0837639653719237
"413",0
"414",0.113584048661062
"415",0
"416",2.20430993772343
"417",37.1273602967353
"418",8.88181602361427
"419",0.0466903483097513
"420",0
"421",0.226138632176371
"422",0.767110651023962
"423",7.38111277632402
"424",0.0958531883269799
"425",0.218132880086134
"426",0.221545524955503
"427",0.300913731250853
"428",0.0316641061016442
"429",0
"430",1.13222454539617
"431",0.00881493132307221
"432",0.138608685593943
"433",0.0752852579516454
"434",2.95236292687512
"435",0.120983607508789
"436",0
"437",0.343150084629425
"438",0.393833708683712
"439",0
"440",0
"441",0
"442",0.102288828144503
"443",0.124785879033683
"444",0
"445",0
"446",0
"447",0
"448",0.317808272602282
"449",0.446504925838167
"450",5.38607129837598
"451",0
"452",0
"453",0.0576290774409306
"454",0
